particle,energy_min_MeV,energy_max_MeV,energy_width_MeV,plot_energy_MeV,energy_geometric_center_MeV,detector,valid_days,coverage_pct,mean_differential_intensity,median_differential_intensity,daily_std,p10_differential_intensity,p90_differential_intensity,mean_reported_daily_stat_error,interannual_mean,interannual_std,interannual_min,interannual_max,bin_integrated_intensity_per_sr,geant4_bin_probability,geant4_cumulative_probability,planar_incident_flux_per_m2_s,planar_annual_fluence_per_m2,published_2012_2015_intensity,difference_vs_published_pct,differential_intensity_units,integrated_intensity_units
proton (Voyager hydrogen),3.0,4.6,1.5999999999999996,3.8,3.714835124201342,LC3,2871,97.88612342311626,19.85496760710554,19.77,4.564370022744132,14.58,25.14,4.294850574712644,19.826253771437027,0.3497286824001811,19.41964450867052,20.52808659217877,31.767948171368857,0.006954705997961183,0.006954705997961183,99.8019525947937,3149510099.205462,19.08,4.061675089651684,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),4.6,6.2,1.6000000000000005,5.4,5.340411969127476,LC3,2873,97.95431299011251,20.958196310476854,20.8,4.736733774671875,15.452,26.708000000000002,4.446301775147929,20.97195869459458,0.28494018188649617,20.552765363128493,21.24673333333333,33.53311409676298,0.0073411398331749795,0.014295845831136161,105.3473848983789,3324510633.669082,21.16,-0.953703636687836,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),6.2,7.7,1.5,6.9,6.90941386804988,LC3,2876,98.05659734060688,23.373656467315715,23.24,5.463658446852,17.415,29.29,4.842637343532684,23.375400789414936,0.29777170944393605,22.966831491712707,23.724841666666666,35.060484700973575,0.007675515016769196,0.02197136084790536,110.14576116787592,3475935872.631361,23.69,-1.335346275577399,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),7.7,12.8,5.1000000000000005,10.2,9.927738916792686,IIA3,2862,97.57927037163314,26.53290216631726,26.32,7.637226654251194,17.271,35.818000000000005,6.975699860237596,26.47128953849174,0.34454662483627313,25.930891061452513,26.76998888888889,135.31780104821803,0.029624057477817548,0.05159541832572291,425.11340967300697,13415558937.096886,26.65,-0.4393914959952653,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),12.8,17.9,5.099999999999998,15.4,15.136710342739601,IIA3,2870,97.85202863961814,29.37466724738676,29.27,8.412286338815726,19.448999999999998,39.253,7.362653658536585,29.426215298712233,0.3960569485693493,28.82263305322129,30.108686956521737,149.8108029616724,0.0327968959246772,0.08439231425040011,470.64451801277806,14852411441.640045,29.68,-1.028749166486655,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),17.9,30.0,12.100000000000001,23.9,23.173260452512935,IIA3,2877,98.09069212410502,28.71351929092805,28.9,5.692089012987512,22.37,35.12,4.853140424052833,28.716873741154114,0.20815983763623774,28.29100835654596,28.874541436464092,347.43358342022947,0.07606089047587677,0.1604532047262769,1091.4947932833695,34444956088.519264,29.09,-1.2941928809623535,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),30.0,48.0,18.0,39.0,37.94733192202055,IIA3,2878,98.12478690760314,27.929017025712298,28.115000000000002,4.982463535115002,22.544,33.33,4.185927032661571,27.914231913053168,0.17829917985513064,27.656172701949863,28.261739010989007,502.7223064628214,0.11005702418064639,0.2705102289069233,1579.3487047793162,49840454685.94375,28.29,-1.276009099638392,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),48.0,56.0,8.0,52.0,51.84592558726288,IIA3,2870,97.85202863961814,28.777752264808363,28.555,7.9310409169347205,19.52,38.04,6.829079094076654,28.803587815636572,0.4534668665445258,28.298785515320333,29.58863583815029,230.2220181184669,0.05040068819157351,0.3209109170984968,723.2638008155918,22824469720.618122,29.14,-1.2431288098546236,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),74.471,83.661,9.189999999999998,79.1,78.93236554798038,IIPY,2729,93.04466416638255,25.00456284353243,23.61,12.606525318999488,10.462000000000002,40.322,11.922748992304873,24.971823324158297,1.0405793011783517,23.734565217391307,26.701707395498392,229.79193253206296,0.05030653295084897,0.37121745004934575,721.9126470969304,22781830552.026093,24.43,2.3518741036939415,particles / m^2-s-sr-MeV,particles / m^2-s-sr
proton (Voyager hydrogen),132.834,154.911,22.076999999999998,143.9,143.44841502784197,IIPH,2863,97.61336515513126,18.895728955640937,18.64,5.610633633990652,12.522,25.454000000000008,4.923498428222145,18.959392080901853,0.2554021229704027,18.620555555555555,19.27827450980392,417.1610081536849,0.09132576488325825,0.462543214932604,1310.5499585797284,41357811372.87563,19.27,-1.942247246284704,particles / m^2-s-sr-MeV,particles / m^2-s-sr
