#Voyager-1 (1 day average)
#  30.000 - 48.000 MeV/n Hydrogen flux derived from IIA3
#  132.834 - 154.911 MeV/n Hydrogen flux derived from IIPH
#  6.200 - 7.700 MeV/n Hydrogen flux derived from LD3
#  6.200 - 7.700 MeV/n Hydrogen flux derived from LC3
#  154.911 - 174.866 MeV/n Hydrogen flux derived from IIPH
#  48.000 - 56.000 MeV/n Hydrogen flux derived from IIA3
#  4.600 - 6.200 MeV/n Hydrogen flux derived from LD3
#  4.600 - 6.200 MeV/n Hydrogen flux derived from LC3
#  74.471 - 83.661 MeV/n Hydrogen flux derived from IIPY
#  3.000 - 4.600 MeV/n Hydrogen flux derived from LD3
#  3.000 - 4.600 MeV/n Hydrogen flux derived from LC3
#  12.800 - 17.900 MeV/n Hydrogen flux derived from IIA3
#  220.475 - 270.050 MeV/n Hydrogen flux derived from IIPH
#  270.050 - 346.034 MeV/n Hydrogen flux derived from IIPH
#  187.713 - 220.475 MeV/n Hydrogen flux derived from IIPH
#  17.900 - 30.000 MeV/n Hydrogen flux derived from IIA3
#  7.700 - 12.800 MeV/n Hydrogen flux derived from IIA3
#  174.866 - 187.713 MeV/n Hydrogen flux derived from IIPH

                      30.000 - 48.000 H(IIA3)                                    132.834 - 154.911 H(IIPH)                                  6.200 - 7.700 H(LD3)                                       6.200 - 7.700 H(LC3)                                       154.911 - 174.866 H(IIPH)                                  48.000 - 56.000 H(IIA3)                                    4.600 - 6.200 H(LD3)                                       4.600 - 6.200 H(LC3)                                       74.471 - 83.661 H(IIPY)                                    3.000 - 4.600 H(LD3)                                       3.000 - 4.600 H(LC3)                                       12.800 - 17.900 H(IIA3)                                    220.475 - 270.050 H(IIPH)                                  270.050 - 346.034 H(IIPH)                                  187.713 - 220.475 H(IIPH)                                  17.900 - 30.000 H(IIA3)                                    7.700 - 12.800 H(IIA3)                                     174.866 - 187.713 H(IIPH)                                  
Datetime              Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             Flux        Error       Count   LiveTime    GF             
2013-09-20T00:00:00   3.012e+01   3.433e+00    77     1.528e+03   -1.000e+00     1.773e+01   3.780e+00    22     3.350e+02   1.678e-04      2.484e+01   4.029e+00    38     2.365e+04   4.312e-05      1.678e+01   3.290e+00    26     2.382e+04   4.338e-05      1.961e+01   4.182e+00    22     3.350e+02   1.678e-04      2.486e+01   5.074e+00    24     1.528e+03   7.900e-05      2.329e+01   3.778e+00    38     2.365e+04   4.312e-05      1.936e+01   3.422e+00    32     2.382e+04   4.338e-05      2.710e+01   1.024e+01     7     3.350e+02   8.388e-05      1.838e+01   3.356e+00    30     2.365e+04   4.312e-05      2.178e+01   3.630e+00    36     2.382e+04   4.338e-05      2.822e+01   5.760e+00    24     1.528e+03   -1.000e+00     1.615e+01   2.407e+00    45     3.350e+02   1.678e-04      9.366e+00   1.481e+00    40     3.350e+02   1.678e-04      1.412e+01   2.769e+00    26     3.350e+02   1.678e-04      2.670e+01   3.703e+00    52     1.528e+03   -1.000e+00     2.933e+01   5.866e+00    25     1.528e+03   1.094e-04      1.662e+01   4.797e+00    12     3.350e+02   1.678e-04      
2013-09-21T00:00:00   2.685e+01   3.835e+00    49     1.082e+03   -1.000e+00     2.427e+01   5.297e+00    21     2.336e+02   1.678e-04      3.285e+01   5.634e+00    34     1.600e+04   4.312e-05      1.493e+01   3.622e+00    17     1.749e+04   4.338e-05      1.790e+01   4.785e+00    14     2.336e+02   1.678e-04      2.779e+01   6.377e+00    19     1.082e+03   7.900e-05      2.536e+01   4.793e+00    28     1.600e+04   4.312e-05      2.059e+01   4.118e+00    25     1.749e+04   4.338e-05      5.554e+00   5.554e+00     1     2.336e+02   8.388e-05      1.359e+01   3.508e+00    15     1.600e+04   4.312e-05      1.647e+01   3.683e+00    20     1.749e+04   4.338e-05      2.823e+01   6.847e+00    17     1.082e+03   1.092e-04      1.081e+01   2.359e+00    21     2.336e+02   1.678e-04      9.068e+00   1.745e+00    27     2.336e+02   1.678e-04      1.947e+01   3.895e+00    25     2.336e+02   1.678e-04      3.610e+01   5.105e+00    50     1.082e+03   -1.000e+00     1.491e+01   4.971e+00     9     1.082e+03   1.094e-04      7.946e+00   3.973e+00     4     2.336e+02   1.678e-04      
2013-09-22T00:00:00   2.918e+01   3.736e+00    61     1.247e+03   -1.000e+00     2.219e+01   4.731e+00    22     2.677e+02   1.678e-04      2.732e+01   4.829e+00    32     1.811e+04   4.312e-05      2.763e+01   4.738e+00    34     1.891e+04   4.338e-05      1.339e+01   3.866e+00    12     2.677e+02   1.678e-04      3.298e+01   6.469e+00    26     1.247e+03   7.900e-05      2.881e+01   4.802e+00    36     1.811e+04   4.312e-05      1.524e+01   3.407e+00    20     1.891e+04   4.338e-05      9.693e+00   6.854e+00     2     2.677e+02   8.388e-05      2.001e+01   4.002e+00    25     1.811e+04   4.312e-05      1.828e+01   3.732e+00    24     1.891e+04   4.338e-05      2.592e+01   6.110e+00    18     1.247e+03   1.092e-04      1.348e+01   2.460e+00    30     2.677e+02   1.678e-04      9.965e+00   1.709e+00    34     2.677e+02   1.678e-04      1.835e+01   3.532e+00    27     2.677e+02   1.678e-04      2.580e+01   4.029e+00    41     1.247e+03   -1.000e+00     2.443e+01   5.925e+00    17     1.247e+03   1.094e-04      2.253e+01   6.250e+00    13     2.677e+02   1.678e-04      
2013-09-23T00:00:00   2.973e+01   2.578e+00   133     2.679e+03   -1.000e+00     1.289e+01   2.481e+00    27     5.655e+02   1.678e-04      2.013e+01   2.690e+00    56     4.302e+04   4.312e-05      2.583e+01   3.087e+00    70     4.165e+04   4.338e-05      2.166e+01   3.383e+00    41     5.655e+02   1.678e-04      3.071e+01   4.259e+00    52     2.679e+03   7.900e-05      1.887e+01   2.521e+00    56     4.302e+04   4.312e-05      1.868e+01   2.542e+00    54     4.165e+04   4.338e-05      1.606e+01   6.070e+00     7     5.655e+02   8.388e-05      1.988e+01   2.588e+00    59     4.302e+04   4.312e-05      1.868e+01   2.542e+00    54     4.165e+04   4.338e-05      2.548e+01   4.133e+00    38     2.679e+03   -1.000e+00     1.276e+01   1.647e+00    60     5.655e+02   1.678e-04      1.082e+01   1.225e+00    78     5.655e+02   1.678e-04      1.416e+01   2.134e+00    44     5.655e+02   1.678e-04      2.863e+01   2.892e+00    98     2.679e+03   -1.000e+00     2.877e+01   4.387e+00    43     2.679e+03   1.094e-04      1.559e+01   3.577e+00    19     5.655e+02   1.678e-04      
2013-09-24T00:00:00   2.718e+01   4.244e+00    41     9.116e+02   -1.000e+00     1.518e+01   4.576e+00    11     1.957e+02   1.678e-04      2.234e+01   4.995e+00    20     1.384e+04   4.312e-05      2.562e+01   5.462e+00    22     1.320e+04   4.338e-05      1.527e+01   4.827e+00    10     1.957e+02   1.678e-04      2.430e+01   6.495e+00    14     9.116e+02   7.900e-05      1.571e+01   4.056e+00    15     1.384e+04   4.312e-05      1.856e+01   4.501e+00    17     1.320e+04   4.338e-05      3.978e+01   1.624e+01     6     1.957e+02   8.388e-05      1.885e+01   4.443e+00    18     1.384e+04   4.312e-05      2.293e+01   5.003e+00    21     1.320e+04   4.338e-05      3.547e+01   8.361e+00    18     9.116e+02   1.091e-04      1.352e+01   2.882e+00    22     1.957e+02   1.678e-04      1.243e+01   2.232e+00    31     1.957e+02   1.678e-04      1.488e+01   3.719e+00    16     1.957e+02   1.678e-04      2.664e+01   4.785e+00    31     9.116e+02   -1.000e+00     1.180e+01   4.816e+00     6     9.116e+02   1.094e-04      1.186e+01   5.302e+00     5     1.957e+02   1.678e-04      
2013-09-25T00:00:00   2.621e+01   3.534e+00    55     1.267e+03   -1.000e+00     1.280e+01   3.550e+00    13     2.742e+02   1.678e-04      1.798e+01   3.671e+00    24     2.063e+04   4.312e-05      2.213e+01   3.976e+00    31     2.152e+04   4.338e-05      1.634e+01   4.219e+00    15     2.742e+02   1.678e-04      3.248e+01   6.370e+00    26     1.267e+03   7.900e-05      1.686e+01   3.441e+00    24     2.063e+04   4.312e-05      1.874e+01   3.542e+00    28     2.152e+04   4.338e-05      2.365e+01   1.058e+01     5     2.742e+02   8.388e-05      1.897e+01   3.650e+00    27     2.063e+04   4.312e-05      2.343e+01   3.960e+00    35     2.152e+04   4.338e-05      2.127e+01   5.493e+00    15     1.267e+03   -1.000e+00     1.315e+01   2.402e+00    30     2.742e+02   1.678e-04      1.030e+01   1.716e+00    36     2.742e+02   1.678e-04      1.327e+01   2.967e+00    20     2.742e+02   1.678e-04      2.595e+01   4.004e+00    42     1.267e+03   -1.000e+00     2.264e+01   5.661e+00    16     1.267e+03   1.094e-04      1.692e+01   5.350e+00    10     2.742e+02   1.678e-04      
2013-09-26T00:00:00   2.693e+01   2.870e+00    88     1.951e+03   -1.000e+00     1.468e+01   3.060e+00    23     4.231e+02   1.678e-04      2.705e+01   3.715e+00    53     3.030e+04   4.312e-05      2.234e+01   3.368e+00    44     3.027e+04   4.338e-05      9.884e+00   2.642e+00    14     4.231e+02   1.678e-04      3.569e+01   5.381e+00    44     1.951e+03   7.900e-05      1.914e+01   3.026e+00    40     3.030e+04   4.312e-05      2.142e+01   3.193e+00    45     3.027e+04   4.338e-05      2.146e+01   8.112e+00     7     4.231e+02   8.388e-05      1.722e+01   2.870e+00    36     3.030e+04   4.312e-05      2.333e+01   3.332e+00    49     3.027e+04   4.338e-05      3.591e+01   5.751e+00    39     1.951e+03   -1.000e+00     1.165e+01   1.820e+00    41     4.231e+02   1.678e-04      1.150e+01   1.460e+00    62     4.231e+02   1.678e-04      1.419e+01   2.470e+00    33     4.231e+02   1.678e-04      2.928e+01   3.427e+00    73     1.951e+03   -1.000e+00     2.389e+01   4.685e+00    26     1.951e+03   1.094e-04      1.645e+01   4.247e+00    15     4.231e+02   1.678e-04      
2013-09-27T00:00:00   2.770e+01   3.575e+00    60     1.293e+03   -1.000e+00     1.478e+01   3.815e+00    15     2.741e+02   1.678e-04      2.503e+01   4.425e+00    32     1.977e+04   4.312e-05      2.725e+01   4.606e+00    35     1.974e+04   4.338e-05      1.526e+01   4.078e+00    14     2.741e+02   1.678e-04      3.426e+01   6.475e+00    28     1.293e+03   7.900e-05      2.053e+01   3.880e+00    28     1.977e+04   4.312e-05      1.241e+01   3.009e+00    17     1.974e+04   4.338e-05      2.840e+01   1.159e+01     6     2.741e+02   8.388e-05      1.320e+01   3.111e+00    18     1.977e+04   4.312e-05      1.971e+01   3.793e+00    27     1.974e+04   4.338e-05      3.751e+01   7.219e+00    27     1.293e+03   -1.000e+00     1.448e+01   2.520e+00    33     2.741e+02   1.678e-04      1.088e+01   1.764e+00    38     2.741e+02   1.678e-04      1.859e+01   3.513e+00    28     2.741e+02   1.678e-04      2.842e+01   4.146e+00    47     1.293e+03   -1.000e+00     1.525e+01   4.597e+00    11     1.293e+03   1.094e-04      1.354e+01   4.788e+00     8     2.741e+02   1.678e-04      
2013-09-28T00:00:00   2.647e+01   3.636e+00    53     1.193e+03   -1.000e+00     1.816e+01   4.404e+00    17     2.528e+02   1.678e-04      2.382e+01   4.349e+00    30     1.947e+04   4.312e-05      2.645e+01   4.604e+00    33     1.918e+04   4.338e-05      3.072e+01   6.025e+00    26     2.528e+02   1.678e-04      3.581e+01   6.892e+00    27     1.193e+03   7.900e-05      2.233e+01   4.077e+00    30     1.947e+04   4.312e-05      1.878e+01   3.757e+00    25     1.918e+04   4.338e-05      1.026e+01   7.257e+00     2     2.528e+02   8.388e-05      1.638e+01   3.492e+00    22     1.947e+04   4.312e-05      2.554e+01   4.381e+00    34     1.918e+04   4.338e-05      1.957e+01   5.429e+00    13     1.193e+03   1.092e-04      9.037e+00   2.073e+00    19     2.528e+02   1.678e-04      1.117e+01   1.862e+00    36     2.528e+02   1.678e-04      1.152e+01   2.879e+00    16     2.528e+02   1.678e-04      2.377e+01   3.962e+00    36     1.193e+03   -1.000e+00     2.704e+01   6.374e+00    18     1.193e+03   1.094e-04      2.386e+01   6.618e+00    13     2.528e+02   1.678e-04      
2013-09-29T00:00:00   2.947e+01   3.497e+00    71     1.434e+03   -1.000e+00     2.198e+01   4.396e+00    25     3.071e+02   1.678e-04      2.134e+01   3.772e+00    32     2.318e+04   4.312e-05      2.565e+01   4.108e+00    39     2.336e+04   4.338e-05      1.654e+01   4.011e+00    17     3.071e+02   1.678e-04      2.978e+01   5.732e+00    27     1.434e+03   7.900e-05      2.751e+01   4.147e+00    44     2.318e+04   4.312e-05      2.528e+01   3.949e+00    41     2.336e+04   4.338e-05      3.379e+01   1.195e+01     8     3.071e+02   8.388e-05      1.250e+01   2.796e+00    20     2.318e+04   4.312e-05      1.542e+01   3.083e+00    25     2.336e+04   4.338e-05      3.006e+01   6.135e+00    24     1.434e+03   -1.000e+00     1.214e+01   2.180e+00    31     3.071e+02   1.678e-04      7.153e+00   1.352e+00    28     3.071e+02   1.678e-04      1.718e+01   3.191e+00    29     3.071e+02   1.678e-04      3.178e+01   4.173e+00    58     1.434e+03   -1.000e+00     3.249e+01   6.371e+00    26     1.434e+03   1.094e-04      2.115e+01   5.653e+00    14     3.071e+02   1.678e-04      
